Timepoints,Liver signal - vol 3 visit 2,AIF
40764.645,415.095,204.503
40766.825,414.738,199.073
40769.005,416.073,207.865
40771.182,418.443,206.094
40773.363,420.064,205.776
40775.542,414.388,203.919
40777.72,419.071,200.265
40779.9,416.477,208.575
40782.08,419.029,198.243
40784.258,417.894,203.371
40786.438,418.115,200.305
40788.615,419.173,204.573
40790.795,419.572,209.544
40792.975,405.092,204.363
40795.152,417.669,202.669
40797.333,414.42,201.238
40799.512,419.189,206.781
40801.69,417.337,207.815
40803.87,420.833,199.466
40806.05,420.505,207.899
40808.227,420.037,203.538
40810.408,420.576,205.602
40812.585,419.675,203.027
40814.765,420.262,205.931
40816.945,417.79,207.052
40819.122,418.484,200.17
40821.303,413.641,189.8
40823.482,416.064,209.238
40825.66,417.477,203.362
40827.84,417.678,203.434
40830.018,416.489,201
40832.197,416.182,208.93
40834.378,414.101,204.807
40836.555,418.555,208.492
40838.735,416.968,197.874
40840.915,417.947,201.547
40843.092,416.608,202.16
40845.273,416.367,196.273
40847.452,414.975,202.791
40849.63,417.141,207.993
40851.81,420.204,203.425
40853.988,414.405,197.343
40856.167,417.673,196.197
40858.348,414.546,197.134
40860.525,418.915,198.27
40862.705,413.649,204.012
40864.885,417.609,195.535
40867.062,414.796,202.205
40869.242,415.39,202.869
40871.42,410.61,198.911
40873.6,414.771,197.043
40875.78,410.291,203.199
40877.958,416.82,203.124
40880.137,416.058,204.377
40882.318,416.39,200.16
40884.495,417.415,199.454
40886.675,419.306,203.194
40888.855,415.664,198.286
40891.033,415.916,205.831
40893.212,414.635,193.989
40895.39,413.795,202.681
40897.57,414.417,199.24
40899.75,416.653,203.387
40901.928,415.682,205.892
40904.107,417.192,193.554
40906.288,414.535,198.859
40908.465,413.786,207.074
40910.645,414.427,196.406
40912.822,416.781,197.357
40915.003,415.735,201.698
40917.182,417.043,205.446
40919.36,415.076,204.428
40921.54,418.676,195.377
40923.72,418.756,196.514
40925.898,417.044,205.705
40928.077,416.028,185.183
40930.258,416.48,192.148
40932.435,414.213,190.004
40934.615,415.576,200.119
40936.792,412.996,197.98
40938.973,416.115,203.009
40941.152,417.246,203.319
40943.33,412.618,198.408
40945.51,413.881,198.53
40947.69,410.72,203.707
40949.867,413.674,201.388
40952.048,415.949,200.854
40954.225,409.924,204.314
40956.405,414.173,202.539
40958.585,410.139,202.431
40960.762,415.088,201.714
40962.943,412.619,205.052
40965.122,413.455,197.606
40967.3,416.107,187.856
40969.48,413.31,204.221
40971.66,412.645,193.724
40973.837,413.958,206.705
40976.018,413.719,202.679
40978.195,412.043,201.045
40980.375,416.559,208.045
40982.555,411.656,203.321
40984.732,416.043,201.578
40986.913,410.559,201.071
40989.092,415.561,197.951
40991.27,413.221,202.734
40993.45,415.454,199.471
40995.628,413.006,199.023
40997.807,414.102,200.641
40999.988,414.21,203.017
41002.165,414.713,204.718
41004.345,410.301,202.671
41006.525,410.944,197.452
41008.702,410.776,191.35
41010.883,411.648,197.252
41013.062,411.746,204.502
41015.24,414.397,203.839
41017.42,415.321,196.692
41019.598,412.031,203.071
41021.777,415.965,203.789
41023.958,410.005,202.574
41026.135,414.153,207.777
41028.315,412.028,204.19
41030.495,411.211,206.794
41036.935,409.779,226.256
41039.113,412.737,202.627
41041.292,410.867,206.095
41043.473,412.469,194.058
41045.65,416.148,201.67
41047.83,412.978,198.859
41050.01,414.121,203.075
41052.188,412.19,204.852
41054.367,413.628,203.019
41056.545,411.016,204.972
41058.725,416.365,198.332
41060.905,407.201,200.728
41063.083,414.769,204.145
41065.262,406.357,202.435
41067.443,413.007,201.415
